name,inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
adv_incres2_c4a_e8/MIM/       ,41.7%,33.3%,98.6%,28.1%,23.8%,28.3%,23.8%,26.6%,25.3%,13.1%,15.0%,10.1%,11.1%,5.5%
adv_incres2_c4a_e8/FDA/       ,39.7%,35.9%,52.2%,33.0%,25.4%,43.7%,28.7%,24.9%,25.1%,13.6%,8.7%,7.8%,7.5%,2.5%
adv_incres2_c4a_e8/NRDM/      ,32.2%,26.3%,42.8%,25.0%,20.7%,29.6%,21.7%,20.3%,18.6%,11.4%,6.0%,7.6%,7.0%,2.4%
adv_incres2_c4a_e8/FIA/       ,44.3%,40.2%,61.8%,35.4%,31.6%,37.0%,35.4%,37.0%,33.7%,25.4%,26.1%,23.5%,20.8%,16.4%
adv_incres2_c4a_e8/NAA_P/     ,63.9%,58.2%,86.8%,50.1%,46.3%,52.8%,48.9%,48.8%,46.5%,38.1%,39.4%,30.9%,30.1%,22.2%
adv_incres2_c4a_e8/LID_NM/    ,65.0%,58.2%,85.2%,50.5%,46.4%,52.4%,49.9%,49.3%,47.6%,38.8%,41.7%,32.9%,31.8%,24.3%
