name,inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
adv_res1152_b2u8_e8/MIM/      ,44.8%,36.7%,30.1%,83.6%,99.9%,48.9%,45.2%,52.3%,52.1%,31.6%,23.2%,28.4%,28.4%,17.3%
adv_res1152_b2u8_e8/FDA/      ,42.8%,36.4%,28.2%,64.6%,86.2%,52.1%,41.4%,51.0%,47.9%,29.5%,17.2%,22.8%,23.2%,13.8%
adv_res1152_b2u8_e8/NRDM/     ,45.7%,40.7%,30.1%,68.8%,88.5%,53.9%,42.5%,49.7%,49.2%,31.6%,18.0%,23.7%,23.5%,14.1%
adv_res1152_b2u8_e8/FIA/      ,63.8%,55.5%,52.8%,86.8%,99.1%,67.9%,66.2%,66.3%,64.0%,52.6%,41.2%,44.4%,46.5%,33.1%
adv_res1152_b2u8_e8/NAA_P/    ,62.8%,57.3%,54.3%,85.8%,97.1%,68.0%,65.3%,66.0%,64.2%,54.2%,43.5%,48.5%,47.7%,35.3%
adv_res1152_b2u8_e8/LID_NM/   ,72.3%,65.7%,62.8%,91.6%,98.6%,78.5%,74.7%,73.0%,71.0%,60.0%,50.7%,53.4%,53.3%,39.4%
