name,inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
adv_inc3_m5b_e8/MIM/          ,99.7%,27.8%,22.2%,21.3%,20.4%,22.0%,18.3%,23.7%,22.6%,12.3%,8.6%,9.2%,8.7%,3.4%
adv_inc3_m5b_e8/FDA/          ,60.3%,22.2%,15.4%,21.6%,16.7%,24.7%,18.5%,14.8%,14.4%,9.0%,4.2%,6.2%,6.2%,2.5%
adv_inc3_m5b_e8/NRDM/         ,63.7%,23.6%,18.2%,17.8%,13.6%,23.2%,15.9%,14.5%,13.6%,9.2%,4.0%,6.9%,6.3%,2.8%
adv_inc3_m5b_e8/FIA/          ,93.4%,55.8%,51.3%,43.2%,38.3%,45.4%,42.4%,41.9%,43.4%,27.8%,26.1%,22.6%,20.3%,10.2%
adv_inc3_m5b_e8/NAA_P/        ,96.4%,64.1%,58.1%,51.5%,44.2%,53.3%,47.2%,49.0%,48.2%,34.2%,29.8%,22.9%,22.4%,10.7%
adv_inc3_m5b_e8/LID_NM/       ,95.6%,66.9%,62.6%,51.8%,45.6%,53.3%,50.0%,50.5%,49.0%,34.9%,33.2%,26.7%,26.3%,12.4%
