name,inception_v3,inception_v4,inception_resnet_v2,resnet_v1_50,resnet_v1_152,resnet_v2_50,resnet_v2_152,vgg_16,vgg_19,adv_inception_v3,adv_inception_resnet_v2,ens3_adv_inception_v3,ens4_adv_inception_v3,ens_adv_inception_resnet_v2
adv_vgg_c3_e8/MIM/            ,70.4%,68.9%,55.9%,76.1%,65.7%,69.5%,59.6%,99.8%,97.9%,56.0%,42.6%,52.5%,50.6%,35.4%
adv_vgg_c3_e8/FDA/            ,51.2%,48.1%,35.4%,53.4%,48.4%,49.1%,39.5%,79.0%,73.3%,41.8%,28.5%,36.2%,35.1%,26.3%
adv_vgg_c3_e8/NRDM/           ,47.9%,46.6%,31.8%,52.3%,45.8%,47.9%,39.0%,72.7%,68.7%,38.1%,26.8%,34.8%,35.0%,25.3%
adv_vgg_c3_e8/FIA/            ,81.2%,81.3%,72.5%,84.2%,79.5%,80.8%,76.9%,99.7%,97.7%,74.2%,61.8%,69.3%,67.2%,54.3%
adv_vgg_c3_e8/NAA_P/          ,83.4%,81.4%,74.1%,85.1%,78.6%,81.5%,77.0%,97.3%,95.3%,73.7%,63.1%,68.9%,69.4%,55.3%
adv_vgg_c3_e8/LID_NM/         ,86.0%,86.2%,78.4%,88.1%,82.2%,85.2%,80.6%,98.2%,96.6%,76.5%,69.7%,74.8%,73.1%,59.2%
